epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8
30,58693,1.22362,1.6025,1.2378,0.59627,0.44317,0.4788,0.33477,1.1663,1.29384,1.19452,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.007129
31,60634.8,1.21879,1.59598,1.23607,0.59679,0.44304,0.47928,0.33533,1.16584,1.29118,1.19417,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.00703
32,62577.4,1.21996,1.59459,1.23552,0.59694,0.44352,0.48028,0.33589,1.16572,1.29011,1.19355,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.006931
33,64999.2,1.21749,1.59208,1.2347,0.60246,0.44359,0.48093,0.33654,1.16523,1.28866,1.19299,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.006832
34,67244.8,1.21626,1.58787,1.23392,0.59764,0.44532,0.48172,0.33721,1.1649,1.28737,1.19224,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.006733
35,69185.6,1.21672,1.5879,1.23381,0.59695,0.44683,0.48236,0.33778,1.16356,1.28608,1.19143,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.006634
36,71127,1.21545,1.5834,1.23281,0.59709,0.44605,0.48316,0.33848,1.16295,1.28452,1.191,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.006535
37,73051.4,1.21456,1.58124,1.2326,0.5979,0.44674,0.48433,0.33901,1.16251,1.28313,1.19047,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.006436
38,74994.9,1.21374,1.57743,1.23089,0.60145,0.44709,0.48432,0.33919,1.16194,1.28203,1.18986,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.006337
39,76925.6,1.21232,1.57557,1.23017,0.60478,0.4456,0.4845,0.33938,1.16117,1.28103,1.18926,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.006238
40,78879.4,1.2094,1.56992,1.228,0.60515,0.44469,0.48515,0.33977,1.16024,1.27999,1.18826,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.006139
41,80825.1,1.2102,1.5721,1.22928,0.60292,0.44645,0.48562,0.34012,1.1588,1.27924,1.18722,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.00604
42,82775.9,1.20911,1.56572,1.22752,0.60423,0.44689,0.48602,0.34032,1.1583,1.2786,1.18649,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.005941
43,84724,1.20705,1.56343,1.22719,0.59706,0.4507,0.48656,0.3404,1.15845,1.27759,1.18625,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.005842
