epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8
30,48782.7,1.22336,1.60195,1.23772,0.60991,0.4342,0.47826,0.33391,1.16486,1.29472,1.19482,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.007129
31,50381.1,1.21916,1.59599,1.23635,0.6046,0.43886,0.47918,0.33462,1.16442,1.29254,1.19436,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.00703
32,51986.3,1.21982,1.59477,1.23533,0.60588,0.4387,0.47996,0.33534,1.16452,1.2914,1.1941,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.006931
33,53593.6,1.21792,1.59291,1.23509,0.60532,0.43813,0.48043,0.33566,1.16437,1.28961,1.19351,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.006832
34,55202.1,1.21615,1.58716,1.23397,0.60349,0.44013,0.48101,0.33606,1.16349,1.28878,1.1925,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.006733
35,56796.2,1.21648,1.58696,1.23429,0.60848,0.43832,0.48128,0.33654,1.16302,1.2877,1.19198,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.006634
36,58411.1,1.21499,1.58477,1.23351,0.61394,0.43607,0.4818,0.33674,1.1626,1.28619,1.19166,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.006535
37,60011,1.21491,1.58265,1.23277,0.61007,0.43753,0.48239,0.33756,1.16167,1.28453,1.19054,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.006436
38,61608,1.21381,1.57742,1.23161,0.60999,0.43976,0.48326,0.3381,1.16183,1.28306,1.19052,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.006337
39,63202.6,1.21206,1.57501,1.22981,0.6086,0.44236,0.48463,0.33891,1.16122,1.28212,1.18981,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.006238
40,65520.5,1.2097,1.57071,1.22846,0.61298,0.44141,0.48527,0.33923,1.16046,1.281,1.18895,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.006139
41,67269.4,1.21049,1.57187,1.22935,0.60351,0.44802,0.4856,0.33999,1.15975,1.27975,1.1883,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.00604
42,68891.7,1.20922,1.56586,1.22787,0.61008,0.44393,0.48548,0.33997,1.15933,1.27888,1.18765,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.005941
43,70495.8,1.20727,1.56265,1.22637,0.60728,0.4454,0.48569,0.33988,1.15884,1.27797,1.18687,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.005842
44,72098.4,1.20698,1.5605,1.2256,0.61021,0.44396,0.48642,0.34031,1.15855,1.27656,1.18653,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.005743
45,73702.4,1.20592,1.56108,1.2255,0.61167,0.44205,0.48647,0.34061,1.15762,1.27538,1.18557,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.005644
46,75300.8,1.20505,1.55595,1.22456,0.6175,0.44014,0.48662,0.34092,1.15721,1.2747,1.18512,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.005545
47,76896.5,1.20396,1.55327,1.2248,0.61225,0.44549,0.48782,0.34151,1.15593,1.27323,1.18424,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.005446
48,78484.1,1.20206,1.54755,1.22331,0.61015,0.44436,0.48771,0.34172,1.15511,1.27221,1.18345,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.005347
49,80097.1,1.2006,1.54546,1.22244,0.61007,0.44635,0.48816,0.34218,1.155,1.27226,1.18303,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.005248
50,81703,1.19753,1.54336,1.22058,0.60808,0.44939,0.48811,0.34203,1.1552,1.27083,1.18286,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.005149
51,83304.7,1.19673,1.53938,1.21924,0.61162,0.44846,0.48814,0.34258,1.15472,1.26984,1.1825,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.00505
52,84900.6,1.19735,1.5386,1.22072,0.61183,0.44809,0.48902,0.34311,1.15368,1.26868,1.1818,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.004951
53,86516.4,1.19479,1.53328,1.21771,0.6086,0.45015,0.4895,0.34354,1.1535,1.26766,1.18146,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.004852
54,88100.1,1.19341,1.52869,1.21781,0.60897,0.45175,0.49042,0.34409,1.15326,1.26643,1.1808,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.004753
55,89704.5,1.19238,1.52666,1.21755,0.61041,0.45117,0.49122,0.34437,1.15281,1.26466,1.18033,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.004654
56,91299.8,1.19037,1.52238,1.21484,0.6045,0.45399,0.49136,0.34455,1.15222,1.26356,1.17959,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.004555
57,92909.3,1.19089,1.51863,1.21476,0.60086,0.4565,0.49141,0.34489,1.15133,1.26212,1.17891,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.004456
