epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8
30,55724.3,1.22324,1.60221,1.2377,0.60699,0.43488,0.47687,0.33347,1.16558,1.29537,1.19435,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.007129
31,57547.2,1.21889,1.59664,1.23666,0.60976,0.43452,0.47754,0.33414,1.16513,1.2941,1.19385,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.00703
32,59379.2,1.21997,1.59435,1.23556,0.61617,0.43217,0.47858,0.33482,1.16463,1.29237,1.19291,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.006931
33,61207.7,1.2181,1.59258,1.23439,0.61163,0.43453,0.47997,0.33559,1.16483,1.29083,1.19265,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.006832
34,63029.6,1.21604,1.58762,1.23439,0.59748,0.44328,0.48034,0.33602,1.16462,1.28962,1.19242,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.006733
35,65539.9,1.21616,1.58817,1.23378,0.59795,0.44474,0.48099,0.33662,1.16353,1.28798,1.19136,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.006634
36,67502.8,1.21472,1.5834,1.23282,0.59854,0.44479,0.48193,0.3374,1.16242,1.28598,1.19036,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.006535
37,69328.4,1.21495,1.58288,1.23179,0.59686,0.44308,0.48206,0.33775,1.16187,1.28493,1.18961,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.006436
38,71168.9,1.21446,1.57899,1.23154,0.60383,0.44188,0.48218,0.33779,1.16193,1.28372,1.1893,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.006337
39,73001.2,1.21221,1.57657,1.2308,0.60563,0.44089,0.48253,0.33814,1.16169,1.28258,1.18923,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.006238
40,74843,1.20953,1.57148,1.22841,0.59822,0.44437,0.48285,0.33831,1.16083,1.28141,1.18839,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.006139
41,76670.1,1.20975,1.57244,1.22945,0.59933,0.4453,0.48297,0.33846,1.15984,1.28121,1.18767,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.00604
42,78484.3,1.20905,1.56552,1.22696,0.60048,0.44508,0.48384,0.33894,1.15916,1.27953,1.18696,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.005941
43,80321.2,1.20686,1.56289,1.22711,0.60196,0.44544,0.48432,0.33939,1.15863,1.27819,1.18646,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.005842
44,82154.9,1.20704,1.55809,1.22518,0.60862,0.44357,0.48456,0.33961,1.15841,1.27662,1.18605,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.005743
45,83981.7,1.2059,1.5608,1.22571,0.60421,0.4456,0.48453,0.34024,1.15745,1.2763,1.18531,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.005644
46,85816.4,1.20522,1.55625,1.22503,0.6081,0.44336,0.48498,0.34075,1.15677,1.27456,1.18462,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.005545
